epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9727,1.36418,1.22342,1.1214,0.92063,0.89813,0.9475,0.59198,1.2432,0.74869,1.0778,0.000664502,0.000664502,0.000664502
2,82.0628,1.30654,0.81836,1.10211,0.92678,0.8989,0.94988,0.59854,1.27975,0.68497,1.11838,0.00130481,0.00130481,0.00130481
3,123.109,1.29498,0.76227,1.10408,0.91483,0.85895,0.9358,0.61322,1.25957,0.7089,1.12688,0.00191872,0.00191872,0.00191872
4,164.86,1.27957,0.73181,1.10002,0.94362,0.90232,0.95855,0.63427,1.22659,0.61235,1.10073,0.0018812,0.0018812,0.0018812
5,206.89,1.27235,0.70514,1.09869,0.93241,0.90092,0.95668,0.61931,1.22551,0.65906,1.09837,0.0018416,0.0018416,0.0018416
6,248.002,1.25351,0.68512,1.09179,0.92797,0.90708,0.95536,0.6262,1.21265,0.60471,1.09556,0.001802,0.001802,0.001802
7,290.117,1.23325,0.66501,1.08763,0.94248,0.90478,0.96215,0.63525,1.20636,0.5882,1.09955,0.0017624,0.0017624,0.0017624
8,331.866,1.2288,0.65177,1.07809,0.94235,0.91089,0.96412,0.64526,1.20927,0.56525,1.09173,0.0017228,0.0017228,0.0017228
